seed	N	T	F	DRA	D	DSTA	Empty	Transmitted	TPF	TL1
6	3	0	0.300	0.000899	0.020493	0.020682	0.771441	2.483069e+11	4.138401	0.747240
6	4	0	0.300	0.001228	0.021325	0.021485	0.721968	3.302563e+11	4.197740	0.755476
6	5	0	0.300	0.001578	0.022226	0.022357	0.673754	4.104335e+11	4.264175	0.762044
6	6	0	0.300	0.001862	0.022669	0.022803	0.632341	4.916223e+11	4.180759	0.754569
6	7	0	0.300	0.002387	0.026130	0.026285	0.561935	5.696313e+11	4.656139	0.781278
6	8	0	0.300	0.002710	0.027359	0.027506	0.517960	6.461166e+11	4.808097	0.789569
6	9	0	0.300	0.003221	0.030861	0.031035	0.453555	7.191438e+11	5.186740	0.807696
6	10	0	0.300	0.003737	0.035108	0.035344	0.388313	7.896560e+11	5.725191	0.825644
6	11	0	0.300	0.004175	0.038741	0.038990	0.333807	8.578526e+11	6.167915	0.839485
6	12	0	0.300	0.004626	0.042233	0.042473	0.284680	9.284047e+11	6.643599	0.854464
6	13	0	0.300	0.004996	0.045582	0.045814	0.242349	9.934668e+11	7.092101	0.866337
6	14	0	0.300	0.005210	0.047122	0.047411	0.217466	1.064552e+12	7.156579	0.861329
6	15	0	0.300	0.005487	0.049943	0.050266	0.188788	1.133073e+12	7.549561	0.868143
6	16	0	0.300	0.005752	0.053142	0.053508	0.162123	1.194306e+12	7.984292	0.875589
6	17	0	0.300	0.005997	0.056752	0.057135	0.136230	1.258703e+12	8.544196	0.884069
6	18	0	0.300	0.006321	0.062837	0.063300	0.105723	1.308882e+12	9.460079	0.896397
6	19	0	0.300	0.006538	0.067405	0.067890	0.085972	1.363451e+12	10.148934	0.904590
6	20	0	0.300	0.006762	0.073149	0.073669	0.066860	1.409018e+12	11.032699	0.915402
6	21	0	0.300	0.006902	0.076441	0.077059	0.054639	1.466584e+12	11.253933	0.916078
6	22	0	0.300	0.007026	0.080887	0.081633	0.044209	1.519465e+12	11.763107	0.919183
6	23	0	0.300	0.007157	0.085765	0.086585	0.034664	1.566394e+12	12.462612	0.925978
6	24	0	0.300	0.007305	0.093971	0.094904	0.023695	1.600799e+12	13.652045	0.934648
6	25	0	0.300	0.007359	0.098331	0.099399	0.018919	1.646844e+12	13.627207	0.931275
6	26	0	0.300	0.007446	0.104638	0.105828	0.014036	1.685556e+12	14.277800	0.935266
6	27	0	0.300	0.007516	0.113114	0.114391	0.009469	1.713667e+12	15.260200	0.940307
6	28	0	0.300	0.007558	0.119640	0.121034	0.006991	1.746973e+12	15.634989	0.940782
6	29	0	0.300	0.007604	0.127223	0.128801	0.004699	1.778294e+12	16.276644	0.942068
6	30	0	0.300	0.007606	0.133026	0.134785	0.003501	1.812976e+12	16.146243	0.934254
6	31	0	0.300	0.007599	0.139181	0.141154	0.002408	1.847528e+12	16.037767	0.925912
6	32	0	0.300	0.007619	0.147344	0.149422	0.001638	1.865604e+12	16.862948	0.928403
6	33	0	0.300	0.007641	0.158298	0.160628	0.000897	1.879738e+12	17.804423	0.931427
6	34	0	0.300	0.007648	0.168914	0.171442	0.000512	1.892259e+12	18.835395	0.932509
6	35	0	0.300	0.007659	0.179099	0.181793	0.000298	1.904783e+12	19.926298	0.934202
6	36	0	0.300	0.007660	0.189415	0.192188	0.000164	1.915153e+12	20.976054	0.935766
6	37	0	0.300	0.007667	0.200535	0.203345	0.000105	1.922365e+12	21.966338	0.937071
6	38	0	0.300	0.007668	0.209105	0.212065	0.000048	1.940807e+12	21.801432	0.933871
6	39	0	0.300	0.007672	0.220072	0.222979	0.000028	1.949351e+12	22.507835	0.935070
6	40	0	0.300	0.007671	0.231602	0.234215	0.000020	1.953628e+12	23.445434	0.936271
